step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,a1,a2,r1,r2,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse
154,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.2,0.51,4.66,3.875,,
155,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.19,0.505,4.65,3.9375,,
156,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.19,0.505,4.65,3.9375,,
157,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.18,0.5,4.64,4.0,,
158,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.18,0.5,4.64,4.0,,
159,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.18,0.505,4.67,4.0625,,
160,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.18,0.51,4.7,4.125,,
161,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.17,0.505,4.69,4.1875,,
162,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.17,0.505,4.69,4.1875,,
163,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.18,0.51,4.7,4.125,,
164,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.19,0.515,4.71,4.0625,,
165,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.2,0.52,4.72,4.0,,
166,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.2,0.52,4.72,4.0,,
167,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.2,0.525,4.75,4.0625,,
168,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.2,0.525,4.75,4.0625,,
169,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.2,0.525,4.75,4.0625,,
170,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.19,0.515,4.71,4.0625,,
171,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.19,0.515,4.71,4.0625,,
172,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.18,0.51,4.7,4.125,,
173,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.18,0.515,4.73,4.1875,,
174,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.17,0.505,4.69,4.1875,,
175,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.16,0.5,4.68,4.25,,
176,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.16,0.505,4.71,4.3125,,
177,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.15,0.495,4.67,4.3125,,
178,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.14,0.49,4.66,4.375,,
179,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.14,0.49,4.66,4.375,,
180,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.15,0.495,4.67,4.3125,,
181,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.15,0.49,4.64,4.25,,
182,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.15,0.49,4.64,4.25,,
183,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,C,3.0,3.0,6.0,1,1.0,0.0,,,0.16,0.495,4.65,4.1875,,
184,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.16,0.495,4.65,4.1875,,
185,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.16,0.495,4.65,4.1875,,
186,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.16,0.49,4.62,4.125,,
187,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.16,0.495,4.65,4.1875,,
188,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,D,1.0,1.0,2.0,0,0.0,0.0,,,0.16,0.49,4.62,4.125,,
189,pd_N2,matrix,2,team,1.0,,,1.0,1.0,D,C,5.0,0.0,5.0,0,0.5,6.25,,,0.16,0.49,4.62,4.125,,
190,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.16,0.49,4.62,4.125,,
191,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.16,0.49,4.62,4.125,,
192,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.16,0.49,4.62,4.125,,
193,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.16,0.495,4.65,4.1875,,
194,pd_N2,matrix,2,team,1.0,,,1.0,1.0,C,D,0.0,5.0,5.0,0,0.5,6.25,,,0.15,0.49,4.64,4.25,,
