episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
38,0.8,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6889,2.9333,2.6889,2.6889,0.8266,0.8266,0.8266,0.8266,11.0,0,,
39,0.8,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6889,2.6889,2.6889,2.9333,0.8224,0.8224,0.8224,0.8224,11.0,0,,
40,0.8,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.8183,0.8183,0.8183,0.8183,7.0,0,,
41,0.8,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.4889,1.5111,2.4889,1.5111,0.8142,0.8142,0.8142,0.8142,8.0,0,,
42,0.8,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.9333,2.6889,2.6889,2.6889,0.8102,0.8102,0.8102,0.8102,11.0,0,,
43,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.8061,0.8061,0.8061,0.8061,11.0,0,,
44,0.8,H,H,S,S,2.6667,2.6667,1.3333,1.3333,2.4889,2.4889,1.5111,1.5111,0.8021,0.8021,0.8021,0.8021,8.0,0,,
45,0.8,H,H,S,S,2.6667,2.6667,1.3333,1.3333,2.4889,2.4889,1.5111,1.5111,0.7981,0.7981,0.7981,0.7981,8.0,0,,
46,0.8,H,H,S,S,2.6667,2.6667,1.3333,1.3333,2.4889,2.4889,1.5111,1.5111,0.7941,0.7941,0.7941,0.7941,8.0,0,,
47,0.8,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.7901,0.7901,0.7901,0.7901,7.0,0,,
48,0.8,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.7862,0.7862,0.7862,0.7862,7.0,0,,
49,0.8,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.4889,1.5111,1.5111,2.4889,0.7822,0.7822,0.7822,0.7822,8.0,0,,
50,0.8,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.5111,2.4889,1.5111,2.4889,0.7783,0.7783,0.7783,0.7783,8.0,0,,
51,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.7744,0.7744,0.7744,0.7744,8.0,0,,
52,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.7705,0.7705,0.7705,0.7705,8.0,0,,
53,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.7667,0.7667,0.7667,0.7667,11.0,0,,
54,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.7629,0.7629,0.7629,0.7629,8.0,0,,
55,0.8,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.759,0.759,0.759,0.759,8.0,0,,
56,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.7553,0.7553,0.7553,0.7553,8.0,0,,
57,0.8,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6889,2.9333,2.6889,2.6889,0.7515,0.7515,0.7515,0.7515,11.0,0,,
58,0.8,H,H,S,H,2.3333,2.3333,0.0,2.3333,2.1778,2.1778,0.4667,2.1778,0.7477,0.7477,0.7477,0.7477,7.0,0,,
59,0.8,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.4889,1.5111,1.5111,2.4889,0.744,0.744,0.744,0.744,8.0,0,,
60,0.8,H,H,H,S,2.3333,2.3333,2.3333,0.0,2.1778,2.1778,2.1778,0.4667,0.7403,0.7403,0.7403,0.7403,7.0,0,,
61,0.8,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.4889,1.5111,2.4889,1.5111,0.7366,0.7366,0.7366,0.7366,8.0,0,,
62,0.8,H,H,S,S,2.6667,2.6667,1.3333,1.3333,2.4889,2.4889,1.5111,1.5111,0.7329,0.7329,0.7329,0.7329,8.0,0,,
63,0.8,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.7292,0.7292,0.7292,0.7292,7.0,0,,
64,0.8,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.9333,2.6889,2.6889,2.6889,0.7256,0.7256,0.7256,0.7256,11.0,0,,
65,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.7219,0.7219,0.7219,0.7219,16.0,1,,
66,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.7183,0.7183,0.7183,0.7183,8.0,0,,
67,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.7147,0.7147,0.7147,0.7147,11.0,0,,
68,0.8,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6889,2.6889,2.6889,2.9333,0.7112,0.7112,0.7112,0.7112,11.0,0,,
69,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.7076,0.7076,0.7076,0.7076,8.0,0,,
70,0.8,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.4889,1.5111,1.5111,2.4889,0.7041,0.7041,0.7041,0.7041,8.0,0,,
71,0.8,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.7005,0.7005,0.7005,0.7005,8.0,0,,
72,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.697,0.697,0.697,0.697,8.0,0,,
73,0.8,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6889,2.9333,2.6889,2.6889,0.6936,0.6936,0.6936,0.6936,11.0,0,,
74,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.6901,0.6901,0.6901,0.6901,11.0,0,,
75,0.8,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6889,2.6889,2.6889,2.9333,0.6866,0.6866,0.6866,0.6866,11.0,0,,
76,0.8,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6832,0.6832,0.6832,0.6832,8.0,0,,
77,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.6798,0.6798,0.6798,0.6798,8.0,0,,
78,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6764,0.6764,0.6764,0.6764,16.0,1,,
79,0.8,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.673,0.673,0.673,0.673,7.0,0,,
80,0.8,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.6696,0.6696,0.6696,0.6696,7.0,0,,
81,0.8,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.4889,1.5111,2.4889,1.5111,0.6663,0.6663,0.6663,0.6663,8.0,0,,
82,0.8,H,H,S,S,2.6667,2.6667,1.3333,1.3333,2.4889,2.4889,1.5111,1.5111,0.663,0.663,0.663,0.663,8.0,0,,
83,0.8,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.9333,2.6889,2.6889,2.6889,0.6597,0.6597,0.6597,0.6597,11.0,0,,
84,0.8,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.5111,2.4889,1.5111,2.4889,0.6564,0.6564,0.6564,0.6564,8.0,0,,
85,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6531,0.6531,0.6531,0.6531,16.0,1,,
86,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6498,0.6498,0.6498,0.6498,16.0,1,,
87,0.8,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.6466,0.6466,0.6466,0.6466,7.0,0,,
88,0.8,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.4889,1.5111,2.4889,1.5111,0.6433,0.6433,0.6433,0.6433,8.0,0,,
89,0.8,H,S,S,S,3.0,2.6667,2.6667,2.6667,2.9333,2.6889,2.6889,2.6889,0.6401,0.6401,0.6401,0.6401,11.0,0,,
90,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6369,0.6369,0.6369,0.6369,16.0,1,,
91,0.8,S,H,H,S,1.3333,2.6667,2.6667,1.3333,1.5111,2.4889,2.4889,1.5111,0.6337,0.6337,0.6337,0.6337,8.0,0,,
92,0.8,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6889,2.9333,2.6889,2.6889,0.6306,0.6306,0.6306,0.6306,11.0,0,,
93,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.6274,0.6274,0.6274,0.6274,8.0,0,,
94,0.8,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.5111,2.4889,1.5111,2.4889,0.6243,0.6243,0.6243,0.6243,8.0,0,,
95,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6211,0.6211,0.6211,0.6211,16.0,1,,
96,0.8,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6889,2.9333,2.6889,2.6889,0.618,0.618,0.618,0.618,11.0,0,,
97,0.8,S,S,S,H,2.6667,2.6667,2.6667,3.0,2.6889,2.6889,2.6889,2.9333,0.6149,0.6149,0.6149,0.6149,11.0,0,,
98,0.8,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.6119,0.6119,0.6119,0.6119,7.0,0,,
99,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.6088,0.6088,0.6088,0.6088,8.0,0,,
100,0.8,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6889,2.6889,2.9333,2.6889,0.6058,0.6058,0.6058,0.6058,11.0,0,0.07,9.23
101,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.6027,0.6027,0.6027,0.6027,16.0,1,0.08,9.28
102,0.8,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.5997,0.5997,0.5997,0.5997,7.0,0,0.08,9.27
103,0.8,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.5967,0.5967,0.5967,0.5967,7.0,0,0.07,9.18
104,0.8,H,S,H,H,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.5937,0.5937,0.5937,0.5937,7.0,0,0.07,9.14
105,0.8,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.5111,1.5111,2.4889,2.4889,0.5908,0.5908,0.5908,0.5908,8.0,0,0.07,9.14
106,0.8,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.5878,0.5878,0.5878,0.5878,16.0,1,0.08,9.22
