step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
1,pd_N4,matrix,4,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.995,0.995,0.995,0.995,"('C', 'C', 'C', 'D')",11.0,0,,,,
2,pd_N4,matrix,4,1.0,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.99,0.99,0.99,0.99,"('C', 'D', 'C', 'D')",9.3333,0,,,,
3,pd_N4,matrix,4,1.0,C,C,C,C,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.9851,0.9851,0.9851,0.9851,"('C', 'C', 'C', 'C')",12.0,1,,,,
4,pd_N4,matrix,4,1.0,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.9801,0.9801,0.9801,0.9801,"('C', 'D', 'C', 'C')",11.0,0,,,,
5,pd_N4,matrix,4,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.9752,0.9752,0.9752,0.9752,"('C', 'D', 'D', 'C')",9.3333,0,,,,
6,pd_N4,matrix,4,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.9704,0.9704,0.9704,0.9704,"('C', 'D', 'D', 'C')",9.3333,0,,,,
7,pd_N4,matrix,4,1.0,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.9655,0.9655,0.9655,0.9655,"('C', 'C', 'D', 'C')",11.0,0,,,,
8,pd_N4,matrix,4,1.0,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.9607,0.9607,0.9607,0.9607,"('D', 'C', 'D', 'C')",9.3333,0,,,,
9,pd_N4,matrix,4,1.0,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.9559,0.9559,0.9559,0.9559,"('D', 'C', 'C', 'D')",9.3333,0,,,,
10,pd_N4,matrix,4,1.0,C,D,C,D,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,0.9511,0.9511,0.9511,0.9511,"('C', 'D', 'C', 'D')",9.3333,0,,,,
11,pd_N4,matrix,4,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.9464,0.9464,0.9464,0.9464,"('C', 'D', 'D', 'C')",9.3333,0,,,,
12,pd_N4,matrix,4,1.0,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.9416,0.9416,0.9416,0.9416,"('D', 'D', 'D', 'C')",7.0,0,,,,
