episode,alpha_emp,N,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
160,0.8,4,C,C,C,D,2.0,2.0,2.0,5.0,2.2,2.2,2.2,4.4,0.4484,0.4484,0.4484,0.4484,11.0,0,0.02,8.35
161,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.4462,0.4462,0.4462,0.4462,7.0,0,0.02,8.31
162,0.8,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.3111,1.3556,1.3556,3.3111,0.444,0.444,0.444,0.444,9.3333,0,0.02,8.3333
163,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4417,0.4417,0.4417,0.4417,4.0,0,0.02,8.28
164,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4395,0.4395,0.4395,0.4395,4.0,0,0.02,8.25
165,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4373,0.4373,0.4373,0.4373,4.0,0,0.02,8.18
166,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.4351,0.4351,0.4351,0.4351,7.0,0,0.02,8.18
167,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.433,0.433,0.433,0.433,7.0,0,0.02,8.21
168,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.4308,0.4308,0.4308,0.4308,7.0,0,0.02,8.24
169,0.8,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.4286,0.4286,0.4286,0.4286,7.0,0,0.02,8.2
170,0.8,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.4265,0.4265,0.4265,0.4265,7.0,0,0.02,8.1767
171,0.8,4,C,D,C,C,2.0,5.0,2.0,2.0,2.2,4.4,2.2,2.2,0.4244,0.4244,0.4244,0.4244,11.0,0,0.02,8.1933
172,0.8,4,D,C,C,C,5.0,2.0,2.0,2.0,4.4,2.2,2.2,2.2,0.4223,0.4223,0.4223,0.4223,11.0,0,0.02,8.1933
173,0.8,4,C,C,C,D,2.0,2.0,2.0,5.0,2.2,2.2,2.2,4.4,0.4201,0.4201,0.4201,0.4201,11.0,0,0.02,8.1933
174,0.8,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.418,0.418,0.418,0.418,7.0,0,0.02,8.17
175,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4159,0.4159,0.4159,0.4159,4.0,0,0.02,8.14
176,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.4139,0.4139,0.4139,0.4139,7.0,0,0.02,8.1
177,0.8,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.3111,1.3556,1.3556,3.3111,0.4118,0.4118,0.4118,0.4118,9.3333,0,0.02,8.1
178,0.8,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.1778,2.1778,0.4667,2.1778,0.4097,0.4097,0.4097,0.4097,7.0,0,0.02,8.1
179,0.8,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.3556,1.3556,3.3111,3.3111,0.4077,0.4077,0.4077,0.4077,9.3333,0,0.02,8.1
180,0.8,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.4057,0.4057,0.4057,0.4057,7.0,0,0.02,8.0767
181,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4036,0.4036,0.4036,0.4036,4.0,0,0.02,8.0467
182,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.4016,0.4016,0.4016,0.4016,7.0,0,0.02,8.0233
183,0.8,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.1778,2.1778,0.4667,2.1778,0.3996,0.3996,0.3996,0.3996,7.0,0,0.02,8.0
184,0.8,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.3976,0.3976,0.3976,0.3976,7.0,0,0.02,7.96
185,0.8,4,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.4667,2.1778,2.1778,2.1778,0.3956,0.3956,0.3956,0.3956,7.0,0,0.02,7.92
186,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3936,0.3936,0.3936,0.3936,7.0,0,0.02,7.88
187,0.8,4,C,C,C,D,2.0,2.0,2.0,5.0,2.2,2.2,2.2,4.4,0.3917,0.3917,0.3917,0.3917,11.0,0,0.02,7.8967
188,0.8,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.3556,3.3111,3.3111,1.3556,0.3897,0.3897,0.3897,0.3897,9.3333,0,0.02,7.8967
189,0.8,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.1778,2.1778,0.4667,2.1778,0.3878,0.3878,0.3878,0.3878,7.0,0,0.02,7.9267
190,0.8,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.3556,1.3556,3.3111,3.3111,0.3858,0.3858,0.3858,0.3858,9.3333,0,0.02,7.95
191,0.8,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.3556,1.3556,3.3111,3.3111,0.3839,0.3839,0.3839,0.3839,9.3333,0,0.02,7.95
192,0.8,4,C,C,D,D,1.0,1.0,3.6667,3.6667,1.3556,1.3556,3.3111,3.3111,0.382,0.382,0.382,0.382,9.3333,0,0.02,7.9733
193,0.8,4,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.1778,2.1778,0.4667,2.1778,0.3801,0.3801,0.3801,0.3801,7.0,0,0.02,8.0033
194,0.8,4,C,D,D,C,1.0,3.6667,3.6667,1.0,1.3556,3.3111,3.3111,1.3556,0.3782,0.3782,0.3782,0.3782,9.3333,0,0.02,7.9867
195,0.8,4,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3763,0.3763,0.3763,0.3763,4.0,0,0.02,7.9867
196,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3744,0.3744,0.3744,0.3744,7.0,0,0.02,8.0167
197,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.3725,0.3725,0.3725,0.3725,7.0,0,0.02,8.0167
198,0.8,4,D,C,C,C,5.0,2.0,2.0,2.0,4.4,2.2,2.2,2.2,0.3707,0.3707,0.3707,0.3707,11.0,0,0.02,8.0333
199,0.8,4,C,C,C,D,2.0,2.0,2.0,5.0,2.2,2.2,2.2,4.4,0.3688,0.3688,0.3688,0.3688,11.0,0,0.02,8.0333
200,0.8,4,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.1778,0.4667,2.1778,2.1778,0.367,0.367,0.367,0.367,7.0,0,0.02,8.0633
201,0.8,4,D,C,C,D,3.6667,1.0,1.0,3.6667,3.3111,1.3556,1.3556,3.3111,0.3651,0.3651,0.3651,0.3651,9.3333,0,0.02,8.0633
