N,alpha_emp,episodes,last_100_avg_coop,last_100_avg_total_reward,time_to_coop_threshold
2,1.0,5000,0.004100000000000002,2.3800000000000043,
2,0.8,5000,0.008900000000000005,3.2409999999999997,
2,0.5,5000,0.9512999999999999,5.9513,353
2,0.2,5000,0.9512999999999999,5.9513,353
