episode,alpha_emp,A_action,B_action,r1,r2,r1_shaped,r2_shaped,total_reward,epsilon_A,epsilon_B,coop_flag,moving_avg_coop,moving_avg_total_reward
1,1.0,C,C,3,3,3.0,3.0,6,0.995,0.995,1,,
2,1.0,C,D,0,5,0.0,5.0,5,0.990025,0.990025,0,,
3,1.0,C,C,3,3,3.0,3.0,6,0.985074875,0.985074875,1,,
4,1.0,C,D,0,5,0.0,5.0,5,0.9801495006250001,0.9801495006250001,0,,
5,1.0,C,D,0,5,0.0,5.0,5,0.9752487531218751,0.9752487531218751,0,,
6,1.0,C,D,0,5,0.0,5.0,5,0.9703725093562657,0.9703725093562657,0,,
7,1.0,C,C,3,3,3.0,3.0,6,0.9655206468094844,0.9655206468094844,1,,
8,1.0,D,C,5,0,5.0,0.0,5,0.960693043575437,0.960693043575437,0,,
9,1.0,D,C,5,0,5.0,0.0,5,0.9558895783575597,0.9558895783575597,0,,
10,1.0,C,D,0,5,0.0,5.0,5,0.9511101304657719,0.9511101304657719,0,,
11,1.0,C,D,0,5,0.0,5.0,5,0.946354579813443,0.946354579813443,0,,
12,1.0,D,D,1,1,1.0,1.0,2,0.9416228069143757,0.9416228069143757,0,,
13,1.0,C,D,0,5,0.0,5.0,5,0.9369146928798039,0.9369146928798039,0,,
14,1.0,C,C,3,3,3.0,3.0,6,0.9322301194154049,0.9322301194154049,1,,
15,1.0,C,C,3,3,3.0,3.0,6,0.9275689688183278,0.9275689688183278,1,,
16,1.0,D,D,1,1,1.0,1.0,2,0.9229311239742362,0.9229311239742362,0,,
17,1.0,D,C,5,0,5.0,0.0,5,0.918316468354365,0.918316468354365,0,,
18,1.0,D,C,5,0,5.0,0.0,5,0.9137248860125932,0.9137248860125932,0,,
19,1.0,D,D,1,1,1.0,1.0,2,0.9091562615825302,0.9091562615825302,0,,
20,1.0,D,C,5,0,5.0,0.0,5,0.9046104802746175,0.9046104802746175,0,,
21,1.0,D,D,1,1,1.0,1.0,2,0.9000874278732445,0.9000874278732445,0,,
22,1.0,C,D,0,5,0.0,5.0,5,0.8955869907338783,0.8955869907338783,0,,
23,1.0,C,D,0,5,0.0,5.0,5,0.8911090557802088,0.8911090557802088,0,,
24,1.0,C,C,3,3,3.0,3.0,6,0.8866535105013078,0.8866535105013078,1,,
25,1.0,C,C,3,3,3.0,3.0,6,0.8822202429488013,0.8822202429488013,1,,
26,1.0,D,D,1,1,1.0,1.0,2,0.8778091417340573,0.8778091417340573,0,,
27,1.0,D,C,5,0,5.0,0.0,5,0.8734200960253871,0.8734200960253871,0,,
28,1.0,D,C,5,0,5.0,0.0,5,0.8690529955452602,0.8690529955452602,0,,
29,1.0,D,D,1,1,1.0,1.0,2,0.8647077305675338,0.8647077305675338,0,,
30,1.0,C,C,3,3,3.0,3.0,6,0.8603841919146962,0.8603841919146962,1,,
31,1.0,C,D,0,5,0.0,5.0,5,0.8560822709551227,0.8560822709551227,0,,
32,1.0,C,C,3,3,3.0,3.0,6,0.851801859600347,0.851801859600347,1,,
33,1.0,D,D,1,1,1.0,1.0,2,0.8475428503023453,0.8475428503023453,0,,
34,1.0,C,C,3,3,3.0,3.0,6,0.8433051360508336,0.8433051360508336,1,,
35,1.0,C,C,3,3,3.0,3.0,6,0.8390886103705794,0.8390886103705794,1,,
36,1.0,C,D,0,5,0.0,5.0,5,0.8348931673187264,0.8348931673187264,0,,
37,1.0,D,D,1,1,1.0,1.0,2,0.8307187014821328,0.8307187014821328,0,,
38,1.0,C,D,0,5,0.0,5.0,5,0.8265651079747222,0.8265651079747222,0,,
39,1.0,C,C,3,3,3.0,3.0,6,0.8224322824348486,0.8224322824348486,1,,
40,1.0,D,C,5,0,5.0,0.0,5,0.8183201210226743,0.8183201210226743,0,,
41,1.0,D,D,1,1,1.0,1.0,2,0.8142285204175609,0.8142285204175609,0,,
42,1.0,D,D,1,1,1.0,1.0,2,0.810157377815473,0.810157377815473,0,,
43,1.0,C,C,3,3,3.0,3.0,6,0.8061065909263957,0.8061065909263957,1,,
44,1.0,D,D,1,1,1.0,1.0,2,0.8020760579717637,0.8020760579717637,0,,
45,1.0,D,D,1,1,1.0,1.0,2,0.798065677681905,0.798065677681905,0,,
46,1.0,D,D,1,1,1.0,1.0,2,0.7940753492934954,0.7940753492934954,0,,
47,1.0,C,D,0,5,0.0,5.0,5,0.7901049725470279,0.7901049725470279,0,,
48,1.0,C,D,0,5,0.0,5.0,5,0.7861544476842928,0.7861544476842928,0,,
49,1.0,D,D,1,1,1.0,1.0,2,0.7822236754458713,0.7822236754458713,0,,
50,1.0,C,D,0,5,0.0,5.0,5,0.778312557068642,0.778312557068642,0,,
51,1.0,C,C,3,3,3.0,3.0,6,0.7744209942832988,0.7744209942832988,1,,
52,1.0,C,C,3,3,3.0,3.0,6,0.7705488893118823,0.7705488893118823,1,,
53,1.0,D,D,1,1,1.0,1.0,2,0.7666961448653229,0.7666961448653229,0,,
54,1.0,C,C,3,3,3.0,3.0,6,0.7628626641409962,0.7628626641409962,1,,
55,1.0,D,D,1,1,1.0,1.0,2,0.7590483508202912,0.7590483508202912,0,,
56,1.0,C,D,0,5,0.0,5.0,5,0.7552531090661897,0.7552531090661897,0,,
57,1.0,C,D,0,5,0.0,5.0,5,0.7514768435208588,0.7514768435208588,0,,
58,1.0,D,D,1,1,1.0,1.0,2,0.7477194593032545,0.7477194593032545,0,,
59,1.0,D,C,5,0,5.0,0.0,5,0.7439808620067382,0.7439808620067382,0,,
60,1.0,D,D,1,1,1.0,1.0,2,0.7402609576967045,0.7402609576967045,0,,
61,1.0,D,C,5,0,5.0,0.0,5,0.736559652908221,0.736559652908221,0,,
62,1.0,D,D,1,1,1.0,1.0,2,0.7328768546436799,0.7328768546436799,0,,
63,1.0,D,C,5,0,5.0,0.0,5,0.7292124703704616,0.7292124703704616,0,,
64,1.0,D,D,1,1,1.0,1.0,2,0.7255664080186093,0.7255664080186093,0,,
65,1.0,C,D,0,5,0.0,5.0,5,0.7219385759785162,0.7219385759785162,0,,
66,1.0,C,D,0,5,0.0,5.0,5,0.7183288830986236,0.7183288830986236,0,,
67,1.0,C,C,3,3,3.0,3.0,6,0.7147372386831305,0.7147372386831305,1,,
68,1.0,C,C,3,3,3.0,3.0,6,0.7111635524897149,0.7111635524897149,1,,
69,1.0,C,C,3,3,3.0,3.0,6,0.7076077347272662,0.7076077347272662,1,,
70,1.0,D,C,5,0,5.0,0.0,5,0.7040696960536299,0.7040696960536299,0,,
71,1.0,D,D,1,1,1.0,1.0,2,0.7005493475733617,0.7005493475733617,0,,
72,1.0,D,D,1,1,1.0,1.0,2,0.697046600835495,0.697046600835495,0,,
73,1.0,D,D,1,1,1.0,1.0,2,0.6935613678313175,0.6935613678313175,0,,
74,1.0,C,C,3,3,3.0,3.0,6,0.6900935609921609,0.6900935609921609,1,,
75,1.0,C,C,3,3,3.0,3.0,6,0.6866430931872001,0.6866430931872001,1,,
76,1.0,D,D,1,1,1.0,1.0,2,0.6832098777212641,0.6832098777212641,0,,
77,1.0,D,D,1,1,1.0,1.0,2,0.6797938283326578,0.6797938283326578,0,,
78,1.0,D,C,5,0,5.0,0.0,5,0.6763948591909945,0.6763948591909945,0,,
79,1.0,C,D,0,5,0.0,5.0,5,0.6730128848950395,0.6730128848950395,0,,
80,1.0,D,C,5,0,5.0,0.0,5,0.6696478204705644,0.6696478204705644,0,,
81,1.0,D,C,5,0,5.0,0.0,5,0.6662995813682115,0.6662995813682115,0,,
82,1.0,D,D,1,1,1.0,1.0,2,0.6629680834613705,0.6629680834613705,0,,
83,1.0,D,C,5,0,5.0,0.0,5,0.6596532430440636,0.6596532430440636,0,,
84,1.0,D,D,1,1,1.0,1.0,2,0.6563549768288433,0.6563549768288433,0,,
85,1.0,D,D,1,1,1.0,1.0,2,0.653073201944699,0.653073201944699,0,,
86,1.0,D,C,5,0,5.0,0.0,5,0.6498078359349755,0.6498078359349755,0,,
87,1.0,D,D,1,1,1.0,1.0,2,0.6465587967553006,0.6465587967553006,0,,
88,1.0,D,C,5,0,5.0,0.0,5,0.6433260027715241,0.6433260027715241,0,,
89,1.0,D,C,5,0,5.0,0.0,5,0.6401093727576664,0.6401093727576664,0,,
90,1.0,C,C,3,3,3.0,3.0,6,0.6369088258938781,0.6369088258938781,1,,
91,1.0,C,D,0,5,0.0,5.0,5,0.6337242817644086,0.6337242817644086,0,,
92,1.0,C,D,0,5,0.0,5.0,5,0.6305556603555866,0.6305556603555866,0,,
93,1.0,C,D,0,5,0.0,5.0,5,0.6274028820538087,0.6274028820538087,0,,
94,1.0,C,D,0,5,0.0,5.0,5,0.6242658676435396,0.6242658676435396,0,,
