step,experiment,type,N,empathy_alpha,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
23,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.8911,0.8911,"('C', 'C')",6.0,1,,,,
24,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.8867,0.8867,"('C', 'C')",6.0,1,,,,
25,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.8822,0.8822,"('C', 'D')",5.0,0,,,,
26,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.8778,0.8778,"('D', 'C')",5.0,0,,,,
27,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.8734,0.8734,"('D', 'C')",5.0,0,,,,
28,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.8691,0.8691,"('D', 'C')",5.0,0,,,,
29,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.8647,0.8647,"('D', 'D')",2.0,0,,,,
30,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.8604,0.8604,"('C', 'C')",6.0,1,,,,
31,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.8561,0.8561,"('C', 'D')",5.0,0,,,,
32,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.8518,0.8518,"('C', 'C')",6.0,1,,,,
33,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.8475,0.8475,"('D', 'C')",5.0,0,,,,
34,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.8433,0.8433,"('C', 'C')",6.0,1,,,,
35,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.8391,0.8391,"('C', 'D')",5.0,0,,,,
36,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.8349,0.8349,"('C', 'D')",5.0,0,,,,
37,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.8307,0.8307,"('D', 'C')",5.0,0,,,,
38,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.8266,0.8266,"('C', 'C')",6.0,1,,,,
39,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.8224,0.8224,"('C', 'C')",6.0,1,,,,
40,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.8183,0.8183,"('D', 'C')",5.0,0,,,,
41,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.8142,0.8142,"('D', 'C')",5.0,0,,,,
42,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.8102,0.8102,"('C', 'D')",5.0,0,,,,
43,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.8061,0.8061,"('D', 'D')",2.0,0,,,,
44,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.8021,0.8021,"('D', 'C')",5.0,0,,,,
45,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7981,0.7981,"('C', 'C')",6.0,1,,,,
46,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7941,0.7941,"('C', 'C')",6.0,1,,,,
47,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7901,0.7901,"('C', 'C')",6.0,1,,,,
48,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.7862,0.7862,"('C', 'D')",5.0,0,,,,
49,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.7822,0.7822,"('C', 'D')",5.0,0,,,,
50,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7783,0.7783,"('C', 'C')",6.0,1,,,,
51,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.7744,0.7744,"('D', 'C')",5.0,0,,,,
52,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.7705,0.7705,"('D', 'C')",5.0,0,,,,
53,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7667,0.7667,"('C', 'C')",6.0,1,,,,
54,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7629,0.7629,"('C', 'C')",6.0,1,,,,
55,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.759,0.759,"('D', 'D')",2.0,0,,,,
56,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7553,0.7553,"('C', 'C')",6.0,1,,,,
57,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.7515,0.7515,"('D', 'C')",5.0,0,,,,
58,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7477,0.7477,"('C', 'C')",6.0,1,,,,
59,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.744,0.744,"('C', 'D')",5.0,0,,,,
60,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7403,0.7403,"('C', 'C')",6.0,1,,,,
61,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7366,0.7366,"('C', 'C')",6.0,1,,,,
62,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.7329,0.7329,"('C', 'D')",5.0,0,,,,
63,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.7292,0.7292,"('C', 'D')",5.0,0,,,,
64,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7256,0.7256,"('C', 'C')",6.0,1,,,,
65,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7219,0.7219,"('C', 'C')",6.0,1,,,,
66,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.7183,0.7183,"('D', 'C')",5.0,0,,,,
67,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.7147,0.7147,"('D', 'D')",2.0,0,,,,
68,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.7112,0.7112,"('C', 'D')",5.0,0,,,,
69,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.7076,0.7076,"('C', 'C')",6.0,1,,,,
70,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.7041,0.7041,"('C', 'D')",5.0,0,,,,
71,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.7005,0.7005,"('D', 'C')",5.0,0,,,,
72,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.697,0.697,"('C', 'C')",6.0,1,,,,
73,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.6936,0.6936,"('D', 'C')",5.0,0,,,,
74,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6901,0.6901,"('C', 'C')",6.0,1,,,,
75,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.6866,0.6866,"('D', 'D')",2.0,0,,,,
76,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6832,0.6832,"('C', 'C')",6.0,1,,,,
77,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.6798,0.6798,"('C', 'D')",5.0,0,,,,
78,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6764,0.6764,"('C', 'C')",6.0,1,,,,
79,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.673,0.673,"('D', 'C')",5.0,0,,,,
80,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6696,0.6696,"('C', 'C')",6.0,1,,,,
81,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.6663,0.6663,"('C', 'D')",5.0,0,,,,
82,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.663,0.663,"('C', 'D')",5.0,0,,,,
83,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6597,0.6597,"('C', 'C')",6.0,1,,,,
84,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6564,0.6564,"('C', 'C')",6.0,1,,,,
85,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6531,0.6531,"('C', 'C')",6.0,1,,,,
86,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6498,0.6498,"('C', 'C')",6.0,1,,,,
87,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.6466,0.6466,"('D', 'C')",5.0,0,,,,
88,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6433,0.6433,"('C', 'C')",6.0,1,,,,
89,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.6401,0.6401,"('D', 'C')",5.0,0,,,,
90,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.6369,0.6369,"('D', 'C')",5.0,0,,,,
91,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6337,0.6337,"('C', 'C')",6.0,1,,,,
92,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.6306,0.6306,"('D', 'C')",5.0,0,,,,
93,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.6274,0.6274,"('D', 'D')",2.0,0,,,,
94,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6243,0.6243,"('C', 'C')",6.0,1,,,,
95,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.6211,0.6211,"('C', 'D')",5.0,0,,,,
96,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.618,0.618,"('D', 'D')",2.0,0,,,,
97,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6149,0.6149,"('C', 'C')",6.0,1,,,,
98,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6119,0.6119,"('C', 'C')",6.0,1,,,,
99,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6088,0.6088,"('C', 'C')",6.0,1,,,,
100,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.6058,0.6058,"('D', 'C')",5.0,0,0.42,5.09,,
101,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.6027,0.6027,"('C', 'C')",6.0,1,0.42,5.09,,
102,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.5997,0.5997,"('C', 'D')",5.0,0,0.42,5.09,,
103,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.5967,0.5967,"('C', 'D')",5.0,0,0.41,5.08,,
104,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5937,0.5937,"('C', 'C')",6.0,1,0.42,5.09,,
105,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.5908,0.5908,"('D', 'C')",5.0,0,0.42,5.09,,
106,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.5878,0.5878,"('D', 'C')",5.0,0,0.42,5.09,,
107,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5849,0.5849,"('C', 'C')",6.0,1,0.42,5.09,,
108,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.582,0.582,"('D', 'C')",5.0,0,0.42,5.09,,
109,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.579,0.579,"('D', 'C')",5.0,0,0.42,5.09,,
110,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.5762,0.5762,"('D', 'C')",5.0,0,0.42,5.09,,
111,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.5733,0.5733,"('D', 'D')",2.0,0,0.42,5.06,,
112,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5704,0.5704,"('C', 'C')",6.0,1,0.43,5.1,,
113,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5676,0.5676,"('C', 'C')",6.0,1,0.44,5.11,,
114,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5647,0.5647,"('C', 'C')",6.0,1,0.44,5.11,,
115,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.5619,0.5619,"('D', 'D')",2.0,0,0.44,5.08,,
116,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.5591,0.5591,"('C', 'D')",5.0,0,0.44,5.11,,
117,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.5563,0.5563,"('C', 'D')",5.0,0,0.43,5.1,,
118,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.5535,0.5535,"('C', 'D')",5.0,0,0.42,5.09,,
119,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5507,0.5507,"('C', 'C')",6.0,1,0.42,5.09,,
120,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.548,0.548,"('C', 'C')",6.0,1,0.43,5.13,,
121,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.5452,0.5452,"('C', 'D')",5.0,0,0.43,5.16,,
122,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5425,0.5425,"('C', 'C')",6.0,1,0.44,5.17,,
123,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5398,0.5398,"('C', 'C')",6.0,1,0.44,5.17,,
124,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5371,0.5371,"('C', 'C')",6.0,1,0.44,5.17,,
125,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5344,0.5344,"('C', 'C')",6.0,1,0.45,5.18,,
126,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.5318,0.5318,"('D', 'C')",5.0,0,0.45,5.18,,
127,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.5291,0.5291,"('D', 'C')",5.0,0,0.45,5.18,,
128,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5264,0.5264,"('C', 'C')",6.0,1,0.46,5.19,,
129,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.5238,0.5238,"('C', 'D')",5.0,0,0.46,5.22,,
130,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.5212,0.5212,"('C', 'D')",5.0,0,0.45,5.21,,
131,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5186,0.5186,"('C', 'C')",6.0,1,0.46,5.22,,
132,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.516,0.516,"('C', 'C')",6.0,1,0.46,5.22,,
133,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5134,0.5134,"('C', 'C')",6.0,1,0.47,5.23,,
134,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.5108,0.5108,"('D', 'C')",5.0,0,0.46,5.22,,
135,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5083,0.5083,"('C', 'C')",6.0,1,0.47,5.23,,
136,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.5058,0.5058,"('C', 'D')",5.0,0,0.47,5.23,,
137,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5032,0.5032,"('C', 'C')",6.0,1,0.48,5.24,,
138,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.5007,0.5007,"('C', 'C')",6.0,1,0.48,5.24,,
139,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4982,0.4982,"('C', 'C')",6.0,1,0.48,5.24,,
140,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.4957,0.4957,"('C', 'D')",5.0,0,0.48,5.24,,
141,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4932,0.4932,"('C', 'C')",6.0,1,0.49,5.25,,
142,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4908,0.4908,"('C', 'C')",6.0,1,0.5,5.26,,
143,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4883,0.4883,"('C', 'C')",6.0,1,0.51,5.3,,
144,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4859,0.4859,"('C', 'C')",6.0,1,0.52,5.31,,
145,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4834,0.4834,"('C', 'C')",6.0,1,0.52,5.31,,
146,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.481,0.481,"('C', 'C')",6.0,1,0.52,5.31,,
147,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.4786,0.4786,"('D', 'D')",2.0,0,0.51,5.27,,
148,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4762,0.4762,"('C', 'C')",6.0,1,0.52,5.28,,
149,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4738,0.4738,"('C', 'C')",6.0,1,0.53,5.29,,
150,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4715,0.4715,"('C', 'C')",6.0,1,0.53,5.29,,
151,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.4691,0.4691,"('D', 'C')",5.0,0,0.53,5.29,,
152,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4668,0.4668,"('C', 'C')",6.0,1,0.54,5.3,,
153,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.4644,0.4644,"('C', 'D')",5.0,0,0.53,5.29,,
154,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4621,0.4621,"('C', 'C')",6.0,1,0.53,5.29,,
155,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4598,0.4598,"('C', 'C')",6.0,1,0.54,5.33,,
156,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.4575,0.4575,"('C', 'D')",5.0,0,0.53,5.32,,
157,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4552,0.4552,"('C', 'C')",6.0,1,0.54,5.33,,
158,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4529,0.4529,"('C', 'C')",6.0,1,0.54,5.33,,
159,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4507,0.4507,"('C', 'C')",6.0,1,0.55,5.34,,
160,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4484,0.4484,"('C', 'C')",6.0,1,0.55,5.34,,
161,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.4462,0.4462,"('D', 'C')",5.0,0,0.54,5.33,,
162,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.444,0.444,"('C', 'C')",6.0,1,0.55,5.34,,
163,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4417,0.4417,"('C', 'C')",6.0,1,0.56,5.35,,
164,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.4395,0.4395,"('C', 'D')",5.0,0,0.55,5.34,,
165,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.4373,0.4373,"('C', 'D')",5.0,0,0.54,5.33,,
166,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.4351,0.4351,"('D', 'C')",5.0,0,0.54,5.33,,
167,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.433,0.433,"('C', 'C')",6.0,1,0.55,5.37,,
168,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4308,0.4308,"('C', 'C')",6.0,1,0.56,5.38,,
169,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.4286,0.4286,"('C', 'D')",5.0,0,0.55,5.37,,
170,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.4265,0.4265,"('C', 'D')",5.0,0,0.55,5.37,,
171,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.4244,0.4244,"('C', 'D')",5.0,0,0.55,5.37,,
172,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.4223,0.4223,"('D', 'C')",5.0,0,0.54,5.36,,
173,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4201,0.4201,"('C', 'C')",6.0,1,0.55,5.37,,
174,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.418,0.418,"('C', 'D')",5.0,0,0.54,5.36,,
175,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.4159,0.4159,"('D', 'C')",5.0,0,0.54,5.39,,
176,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4139,0.4139,"('C', 'C')",6.0,1,0.54,5.39,,
177,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.4118,0.4118,"('D', 'C')",5.0,0,0.54,5.39,,
178,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.4097,0.4097,"('C', 'D')",5.0,0,0.53,5.38,,
179,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4077,0.4077,"('C', 'C')",6.0,1,0.54,5.39,,
180,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.4057,0.4057,"('C', 'C')",6.0,1,0.54,5.39,,
181,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.4036,0.4036,"('D', 'C')",5.0,0,0.54,5.39,,
182,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.4016,0.4016,"('D', 'C')",5.0,0,0.54,5.39,,
183,pd_N2,matrix,2,0.2,D,D,1.0,1.0,1.0,1.0,0.3996,0.3996,"('D', 'D')",2.0,0,0.53,5.35,,
184,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.3976,0.3976,"('C', 'D')",5.0,0,0.52,5.34,,
185,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.3956,0.3956,"('C', 'D')",5.0,0,0.51,5.33,,
186,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.3936,0.3936,"('D', 'C')",5.0,0,0.5,5.32,,
187,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.3917,0.3917,"('C', 'C')",6.0,1,0.51,5.33,,
188,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.3897,0.3897,"('C', 'C')",6.0,1,0.51,5.33,,
189,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.3878,0.3878,"('C', 'C')",6.0,1,0.52,5.34,,
190,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.3858,0.3858,"('C', 'C')",6.0,1,0.53,5.35,,
191,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.3839,0.3839,"('C', 'C')",6.0,1,0.53,5.35,,
192,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.382,0.382,"('C', 'C')",6.0,1,0.54,5.36,,
193,pd_N2,matrix,2,0.2,D,C,5.0,0.0,1.0,4.0,0.3801,0.3801,"('D', 'C')",5.0,0,0.54,5.39,,
194,pd_N2,matrix,2,0.2,C,D,0.0,5.0,4.0,1.0,0.3782,0.3782,"('C', 'D')",5.0,0,0.53,5.38,,
195,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.3763,0.3763,"('C', 'C')",6.0,1,0.54,5.39,,
196,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.3744,0.3744,"('C', 'C')",6.0,1,0.55,5.43,,
197,pd_N2,matrix,2,0.2,C,C,3.0,3.0,3.0,3.0,0.3725,0.3725,"('C', 'C')",6.0,1,0.55,5.43,,
