step,experiment,type,N,empathy_alpha,A1_action,A2_action,r1,r2,r1_shaped,r2_shaped,epsilon_A1,epsilon_A2,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
47,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.7901,0.7901,"('C', 'D')",5.0,0,,,,
48,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.7862,0.7862,"('C', 'D')",5.0,0,,,,
49,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.7822,0.7822,"('C', 'D')",5.0,0,,,,
50,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.7783,0.7783,"('C', 'D')",5.0,0,,,,
51,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.7744,0.7744,"('D', 'C')",5.0,0,,,,
52,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.7705,0.7705,"('D', 'C')",5.0,0,,,,
53,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.7667,0.7667,"('C', 'D')",5.0,0,,,,
54,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.7629,0.7629,"('C', 'C')",6.0,1,,,,
55,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.759,0.759,"('D', 'D')",2.0,0,,,,
56,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.7553,0.7553,"('D', 'C')",5.0,0,,,,
57,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.7515,0.7515,"('D', 'D')",2.0,0,,,,
58,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.7477,0.7477,"('C', 'D')",5.0,0,,,,
59,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.744,0.744,"('D', 'D')",2.0,0,,,,
60,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.7403,0.7403,"('D', 'C')",5.0,0,,,,
61,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.7366,0.7366,"('C', 'C')",6.0,1,,,,
62,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.7329,0.7329,"('D', 'D')",2.0,0,,,,
63,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.7292,0.7292,"('D', 'D')",2.0,0,,,,
64,pd_N2,matrix,2,1.0,C,D,0.0,5.0,0.0,5.0,0.7256,0.7256,"('C', 'D')",5.0,0,,,,
65,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.7219,0.7219,"('C', 'C')",6.0,1,,,,
66,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.7183,0.7183,"('D', 'C')",5.0,0,,,,
67,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.7147,0.7147,"('D', 'D')",2.0,0,,,,
68,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.7112,0.7112,"('D', 'D')",2.0,0,,,,
69,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.7076,0.7076,"('C', 'C')",6.0,1,,,,
70,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.7041,0.7041,"('D', 'D')",2.0,0,,,,
71,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.7005,0.7005,"('D', 'C')",5.0,0,,,,
72,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.697,0.697,"('D', 'C')",5.0,0,,,,
73,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.6936,0.6936,"('D', 'C')",5.0,0,,,,
74,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.6901,0.6901,"('D', 'C')",5.0,0,,,,
75,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.6866,0.6866,"('D', 'D')",2.0,0,,,,
76,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.6832,0.6832,"('D', 'D')",2.0,0,,,,
77,pd_N2,matrix,2,1.0,D,D,1.0,1.0,1.0,1.0,0.6798,0.6798,"('D', 'D')",2.0,0,,,,
78,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.6764,0.6764,"('D', 'C')",5.0,0,,,,
79,pd_N2,matrix,2,1.0,D,C,5.0,0.0,5.0,0.0,0.673,0.673,"('D', 'C')",5.0,0,,,,
80,pd_N2,matrix,2,1.0,C,C,3.0,3.0,3.0,3.0,0.6696,0.6696,"('C', 'C')",6.0,1,,,,
