episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
40,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.8183,0.8183,0.8183,0.8183,7.0,0,,
41,1.0,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.8142,0.8142,0.8142,0.8142,7.0,0,,
42,1.0,D,D,C,C,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,0.8102,0.8102,0.8102,0.8102,9.3333,0,,
43,1.0,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.8061,0.8061,0.8061,0.8061,11.0,0,,
44,1.0,D,D,C,C,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,0.8021,0.8021,0.8021,0.8021,9.3333,0,,
45,1.0,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.7981,0.7981,0.7981,0.7981,7.0,0,,
46,1.0,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.7941,0.7941,0.7941,0.7941,7.0,0,,
47,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7901,0.7901,0.7901,0.7901,7.0,0,,
48,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7862,0.7862,0.7862,0.7862,7.0,0,,
49,1.0,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.7822,0.7822,0.7822,0.7822,7.0,0,,
50,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.7783,0.7783,0.7783,0.7783,11.0,0,,
51,1.0,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.7744,0.7744,0.7744,0.7744,9.3333,0,,
52,1.0,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.7705,0.7705,0.7705,0.7705,9.3333,0,,
53,1.0,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.7667,0.7667,0.7667,0.7667,11.0,0,,
54,1.0,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.7629,0.7629,0.7629,0.7629,9.3333,0,,
55,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.759,0.759,0.759,0.759,4.0,0,,
56,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.7553,0.7553,0.7553,0.7553,9.3333,0,,
57,1.0,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.7515,0.7515,0.7515,0.7515,11.0,0,,
58,1.0,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.7477,0.7477,0.7477,0.7477,7.0,0,,
59,1.0,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.744,0.744,0.744,0.744,9.3333,0,,
60,1.0,D,D,D,C,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.7403,0.7403,0.7403,0.7403,7.0,0,,
61,1.0,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.7366,0.7366,0.7366,0.7366,9.3333,0,,
62,1.0,D,D,C,D,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,0.7329,0.7329,0.7329,0.7329,7.0,0,,
63,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.7292,0.7292,0.7292,0.7292,7.0,0,,
64,1.0,D,D,C,C,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,0.7256,0.7256,0.7256,0.7256,9.3333,0,,
65,1.0,C,D,C,C,2.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,0.7219,0.7219,0.7219,0.7219,11.0,0,,
66,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7183,0.7183,0.7183,0.7183,4.0,0,,
67,1.0,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.7147,0.7147,0.7147,0.7147,11.0,0,,
68,1.0,C,C,C,D,2.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,0.7112,0.7112,0.7112,0.7112,11.0,0,,
69,1.0,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.7076,0.7076,0.7076,0.7076,9.3333,0,,
70,1.0,D,C,C,D,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,0.7041,0.7041,0.7041,0.7041,9.3333,0,,
71,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7005,0.7005,0.7005,0.7005,4.0,0,,
72,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.697,0.697,0.697,0.697,9.3333,0,,
73,1.0,D,D,C,C,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,1.0,0.6936,0.6936,0.6936,0.6936,9.3333,0,,
74,1.0,C,C,D,C,2.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.6901,0.6901,0.6901,0.6901,11.0,0,,
75,1.0,C,C,D,D,1.0,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,0.6866,0.6866,0.6866,0.6866,9.3333,0,,
76,1.0,D,D,D,D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6832,0.6832,0.6832,0.6832,4.0,0,,
77,1.0,C,D,D,C,1.0,3.6667,3.6667,1.0,1.0,3.6667,3.6667,1.0,0.6798,0.6798,0.6798,0.6798,9.3333,0,,
78,1.0,D,C,C,C,5.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,0.6764,0.6764,0.6764,0.6764,11.0,0,,
79,1.0,C,D,D,D,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.673,0.673,0.673,0.673,7.0,0,,
80,1.0,D,C,D,D,2.3333,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,0.6696,0.6696,0.6696,0.6696,7.0,0,,
81,1.0,D,C,D,C,3.6667,1.0,3.6667,1.0,3.6667,1.0,3.6667,1.0,0.6663,0.6663,0.6663,0.6663,9.3333,0,,
