alpha_emp,episodes,last_100_avg_coop,last_100_avg_total_reward,time_to_coop_threshold
1.0,5000,0.0,2.197700000000002,
0.8,5000,0.0,2.981600000000002,
0.5,5000,0.9331,5.920799999999996,340
0.2,5000,0.9371000000000008,5.924799999999993,336
