step,experiment,type,N,baseline,empathy_alpha,hetero_tag,learn_alpha_signal,alpha1,alpha2,alpha3,alpha4,alpha_mean,a1,a2,a3,a4,r1,r2,r3,r4,total_reward,coop_strict,coop_fraction,ineq_var,stock_level,collapse,ma_coop_strict,ma_coop_fraction,ma_total_reward,ma_ineq_var,ma_stock_level,ma_collapse,ma_alpha_mean
228,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,0.08,0.55,9.4133,1.395278,,,0.375
229,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.08,0.5525,9.43,1.394375,,,0.375
230,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.08,0.5525,9.43,1.394375,,,0.375
231,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.5575,9.4833,1.412153,,,0.375
232,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,C,C,D,3.6667,1.0,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.555,9.4667,1.413056,,,0.375
233,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.08,0.5525,9.45,1.413958,,,0.375
234,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,D,C,D,2.3333,2.3333,0.0,2.3333,7.0,0,0.25,1.020833,,,0.08,0.5475,9.41,1.407292,,,0.375
235,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,C,C,C,3.0,3.0,3.0,3.0,12.0,1,1.0,0.0,,,0.09,0.55,9.42,1.390417,,,0.375
236,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,C,D,D,2.3333,0.0,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.09,0.545,9.38,1.38375,,,0.375
237,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,C,C,C,3.0,3.0,3.0,3.0,12.0,1,1.0,0.0,,,0.1,0.55,9.4067,1.365972,,,0.375
238,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,D,D,D,0.0,2.3333,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.1,0.5475,9.3833,1.358403,,,0.375
239,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,D,C,D,1.0,3.6667,1.0,3.6667,9.3333,0,0.5,1.777778,,,0.1,0.5475,9.3833,1.358403,,,0.375
240,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.1,0.55,9.4,1.3575,,,0.375
241,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,C,C,C,5.0,2.0,2.0,2.0,11.0,0,0.75,1.6875,,,0.1,0.55,9.4,1.3575,,,0.375
242,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.1,0.5475,9.3833,1.358403,,,0.375
243,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,C,D,D,2.3333,0.0,2.3333,2.3333,7.0,0,0.25,1.020833,,,0.1,0.545,9.36,1.350833,,,0.375
244,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,D,C,D,C,3.6667,1.0,3.6667,1.0,9.3333,0,0.5,1.777778,,,0.1,0.545,9.36,1.350833,,,0.375
245,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,C,D,D,1.0,1.0,3.6667,3.6667,9.3333,0,0.5,1.777778,,,0.1,0.5475,9.3833,1.358403,,,0.375
246,pd_N4,matrix,4,learn_alpha,1.0,,team,0.5,0.0,0.2,0.8,0.375,C,C,C,D,2.0,2.0,2.0,5.0,11.0,0,0.75,1.6875,,,0.1,0.5475,9.3833,1.358403,,,0.375
