episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_extraction,stock_level,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
36,0.2,2,2,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8349,0.8349,0.8349,0.8349,6,0,-2.0,0,,
37,0.2,2,1,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8307,0.8307,0.8307,0.8307,6,0,-2.0,0,,
38,0.2,2,2,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8266,0.8266,0.8266,0.8266,7,0,-2.0,0,,
39,0.2,0,0,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8224,0.8224,0.8224,0.8224,2,0,-2.0,1,,
40,0.2,1,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8183,0.8183,0.8183,0.8183,1,1,-2.0,1,,
41,0.2,2,1,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8142,0.8142,0.8142,0.8142,4,0,-2.0,1,,
42,0.2,2,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8102,0.8102,0.8102,0.8102,2,0,-2.0,1,,
43,0.2,1,2,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8061,0.8061,0.8061,0.8061,7,0,-2.0,0,,
44,0.2,0,2,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8021,0.8021,0.8021,0.8021,4,0,-2.0,1,,
45,0.2,0,2,2,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7981,0.7981,0.7981,0.7981,5,0,-2.0,0,,
46,0.2,1,1,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7941,0.7941,0.7941,0.7941,3,0,-2.0,1,,
47,0.2,2,2,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7901,0.7901,0.7901,0.7901,5,0,-2.0,0,,
48,0.2,0,2,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7862,0.7862,0.7862,0.7862,4,0,-2.0,1,,
49,0.2,2,0,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7822,0.7822,0.7822,0.7822,3,0,-2.0,1,,
50,0.2,1,0,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7783,0.7783,0.7783,0.7783,2,0,-2.0,1,,
51,0.2,2,0,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7744,0.7744,0.7744,0.7744,4,0,-2.0,1,,
52,0.2,2,1,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7705,0.7705,0.7705,0.7705,4,0,-2.0,1,,
53,0.2,1,1,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7667,0.7667,0.7667,0.7667,4,0,-2.0,1,,
54,0.2,2,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7629,0.7629,0.7629,0.7629,7,0,-2.0,0,,
55,0.2,1,2,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.759,0.759,0.759,0.759,4,0,-2.0,1,,
56,0.2,1,1,0,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7553,0.7553,0.7553,0.7553,3,0,-2.0,1,,
57,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7515,0.7515,0.7515,0.7515,0,2,0.0,1,,
58,0.2,0,1,0,0,0.0,1.0,0.0,0.0,0.2667,0.2,0.2667,0.2667,0.7477,0.7477,0.7477,0.7477,1,3,1.0,1,,
59,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744,0.744,0.744,0.744,0,5,0.0,1,,
60,0.2,1,2,0,2,1.0,2.0,0.0,2.0,1.2667,1.2,1.3333,1.2,0.7403,0.7403,0.7403,0.7403,5,2,5.0,0,,
61,0.2,0,2,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7366,0.7366,0.7366,0.7366,5,0,-2.0,0,,
62,0.2,0,2,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7329,0.7329,0.7329,0.7329,4,0,-2.0,1,,
63,0.2,0,2,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7292,0.7292,0.7292,0.7292,4,0,-2.0,1,,
64,0.2,0,0,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7256,0.7256,0.7256,0.7256,2,0,-2.0,1,,
65,0.2,0,2,1,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7219,0.7219,0.7219,0.7219,3,0,-2.0,1,,
66,0.2,2,1,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7183,0.7183,0.7183,0.7183,5,0,-2.0,0,,
67,0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7147,0.7147,0.7147,0.7147,0,2,0.0,1,,
68,0.2,2,0,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7112,0.7112,0.7112,0.7112,4,0,-2.0,1,,
69,0.2,0,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.7076,0.7076,0.7076,0.7076,3,0,-2.0,1,,
