episode,alpha_emp,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,total_extraction,stock_level,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward
1,1.0,0,2,2,1,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.995,0.995,0.995,0.995,5,7,5.0,0,,
2,1.0,0,1,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.99,0.99,0.99,0.99,2,7,2.0,1,,
3,1.0,2,2,0,0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.9851,0.9851,0.9851,0.9851,4,5,4.0,1,,
4,1.0,2,1,0,0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.9801,0.9801,0.9801,0.9801,3,4,3.0,1,,
5,1.0,0,2,0,0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.9752,0.9752,0.9752,0.9752,2,4,2.0,1,,
6,1.0,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9704,0.9704,0.9704,0.9704,5,1,-2.0,0,,
7,1.0,0,2,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9655,0.9655,0.9655,0.9655,5,0,-2.0,0,,
8,1.0,2,2,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9607,0.9607,0.9607,0.9607,6,0,-2.0,0,,
9,1.0,0,1,2,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9559,0.9559,0.9559,0.9559,5,0,-2.0,0,,
10,1.0,2,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9511,0.9511,0.9511,0.9511,5,0,-2.0,0,,
11,1.0,0,0,1,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9464,0.9464,0.9464,0.9464,3,0,-2.0,1,,
12,1.0,1,0,0,2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9416,0.9416,0.9416,0.9416,3,0,-2.0,1,,
13,1.0,0,1,2,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9369,0.9369,0.9369,0.9369,3,0,-2.0,1,,
14,1.0,0,1,1,1,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.9322,0.9322,0.9322,0.9322,3,0,-2.0,1,,
