step,experiment,type,N,empathy_alpha,A1_action,A2_action,A3_action,A4_action,r1,r2,r3,r4,r1_shaped,r2_shaped,r3_shaped,r4_shaped,epsilon_A1,epsilon_A2,epsilon_A3,epsilon_A4,state,total_reward,coop_flag,moving_avg_coop,moving_avg_total_reward,extra_total_extraction,extra_stock_level
28,sh_N4,matrix,4,1.0,H,H,H,S,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.8691,0.8691,0.8691,0.8691,"('H', 'H', 'H', 'S')",7.0,0,,,,
29,sh_N4,matrix,4,1.0,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.8647,0.8647,0.8647,0.8647,"('H', 'H', 'H', 'H')",8.0,0,,,,
30,sh_N4,matrix,4,1.0,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,0.8604,0.8604,0.8604,0.8604,"('S', 'S', 'H', 'S')",11.0,0,,,,
31,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.8561,0.8561,0.8561,0.8561,"('S', 'H', 'H', 'H')",7.0,0,,,,
32,sh_N4,matrix,4,1.0,S,S,S,S,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.8518,0.8518,0.8518,0.8518,"('S', 'S', 'S', 'S')",16.0,1,,,,
33,sh_N4,matrix,4,1.0,H,S,S,H,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,0.8475,0.8475,0.8475,0.8475,"('H', 'S', 'S', 'H')",8.0,0,,,,
34,sh_N4,matrix,4,1.0,S,H,S,H,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,0.8433,0.8433,0.8433,0.8433,"('S', 'H', 'S', 'H')",8.0,0,,,,
35,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.8391,0.8391,0.8391,0.8391,"('S', 'H', 'H', 'H')",7.0,0,,,,
36,sh_N4,matrix,4,1.0,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,0.8349,0.8349,0.8349,0.8349,"('S', 'H', 'S', 'S')",11.0,0,,,,
37,sh_N4,matrix,4,1.0,H,S,H,S,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,2.6667,1.3333,0.8307,0.8307,0.8307,0.8307,"('H', 'S', 'H', 'S')",8.0,0,,,,
38,sh_N4,matrix,4,1.0,S,S,H,S,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,0.8266,0.8266,0.8266,0.8266,"('S', 'S', 'H', 'S')",11.0,0,,,,
39,sh_N4,matrix,4,1.0,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.8224,0.8224,0.8224,0.8224,"('H', 'H', 'H', 'H')",8.0,0,,,,
40,sh_N4,matrix,4,1.0,H,S,S,S,3.0,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,2.6667,0.8183,0.8183,0.8183,0.8183,"('H', 'S', 'S', 'S')",11.0,0,,,,
41,sh_N4,matrix,4,1.0,H,H,S,S,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,0.8142,0.8142,0.8142,0.8142,"('H', 'H', 'S', 'S')",8.0,0,,,,
42,sh_N4,matrix,4,1.0,S,H,S,S,2.6667,3.0,2.6667,2.6667,2.6667,3.0,2.6667,2.6667,0.8102,0.8102,0.8102,0.8102,"('S', 'H', 'S', 'S')",11.0,0,,,,
43,sh_N4,matrix,4,1.0,H,H,H,S,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.0,0.8061,0.8061,0.8061,0.8061,"('H', 'H', 'H', 'S')",7.0,0,,,,
44,sh_N4,matrix,4,1.0,H,H,H,H,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.8021,0.8021,0.8021,0.8021,"('H', 'H', 'H', 'H')",8.0,0,,,,
45,sh_N4,matrix,4,1.0,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,0.7981,0.7981,0.7981,0.7981,"('S', 'S', 'H', 'H')",8.0,0,,,,
46,sh_N4,matrix,4,1.0,S,S,H,H,1.3333,1.3333,2.6667,2.6667,1.3333,1.3333,2.6667,2.6667,0.7941,0.7941,0.7941,0.7941,"('S', 'S', 'H', 'H')",8.0,0,,,,
47,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7901,0.7901,0.7901,0.7901,"('S', 'H', 'H', 'H')",7.0,0,,,,
48,sh_N4,matrix,4,1.0,S,H,H,H,0.0,2.3333,2.3333,2.3333,0.0,2.3333,2.3333,2.3333,0.7862,0.7862,0.7862,0.7862,"('S', 'H', 'H', 'H')",7.0,0,,,,
